1	GO:0000003	reproduction	86	33	16.23	1	0.99821	2.4e-08	1	1.0944e-05
2	GO:0032501	multicellular organismal process	524	152	98.89	2	0.60932	8.3e-08	1	1.8924e-05
3	GO:0000226	microtubule cytoskeleton organization	152	50	28.68	3	0.70621	2.2e-05	1	0.003344
4	GO:0071805	potassium ion transmembrane transport	50	22	9.44	4	0.96772	3.8e-05	1	0.004332
5	GO:0006357	regulation of transcription by RNA polym...	554	142	104.55	5	0.00956	8.9e-05	0.227348571428571	0.0081168
6	GO:0055085	transmembrane transport	471	123	88.89	6	0.95667	0.00035	1	0.02223
7	GO:0003008	system process	214	55	40.39	7	0.86399	0.00036	1	0.02223
8	GO:1903047	mitotic cell cycle process	127	40	23.97	8	0.56983	0.00039	1	0.02223
9	GO:1901565	organonitrogen compound catabolic proces...	342	51	64.54	9	0.97478	0.00055	1	0.0278666666666667
10	GO:0005975	carbohydrate metabolic process	159	47	30.01	10	0.95863	0.00064	1	0.029184
11	GO:0030036	actin cytoskeleton organization	114	26	21.51	11	0.34398	0.00254	0.869539672131148	0.105294545454545
12	GO:0006950	response to stress	377	69	71.15	12	0.48645	0.00321	0.991576071428571	0.12198
13	GO:0000280	nuclear division	74	24	13.96	13	0.39778	0.00359	0.934988041237114	0.125926153846154
14	GO:0000278	mitotic cell cycle	169	54	31.89	14	0.9701	0.00426	1	0.13128
15	GO:0010629	negative regulation of gene expression	100	22	18.87	15	0.93289	0.00457	1	0.13128
16	GO:0007018	microtubule-based movement	126	36	23.78	16	0.91861	0.00492	1	0.13128
17	GO:0043603	cellular amide metabolic process	396	52	74.73	17	0.87716	0.00522	1	0.13128
18	GO:0006814	sodium ion transport	56	19	10.57	18	0.53894	0.00527	1	0.13128
19	GO:0030182	neuron differentiation	96	32	18.12	19	0.95428	0.00547	1	0.13128
20	GO:0032502	developmental process	402	113	75.86	20	0.26561	0.00664	0.773167228915663	0.146788571428571
21	GO:0006629	lipid metabolic process	313	60	59.07	21	0.98498	0.00676	1	0.146788571428571
22	GO:0060271	cilium assembly	114	32	21.51	22	0.04101	0.01021	0.406533913043478	0.211625454545455
23	GO:0007268	chemical synaptic transmission	98	28	18.49	23	0.42101	0.01224	0.9695016	0.242671304347826
